video_id,comment
MieBlLblZxQ,"2 hari nonton Malaka Podcast, kesini karena awalnya nonton Koh Felix trus Coky bilang kemarin sama dokter Tirta dan mengumpamakan beliau adalah mercy yang sayang banget kalo dipake jualan tahu bulat. Dan bener disini sampe betah nontonnya tanpa jeda. mantapppp"
MieBlLblZxQ,"SANTET emang ada bang,, kuantum engtanglement"
MieBlLblZxQ,asli seru bet ini
MieBlLblZxQ,Emng akar masalah semua ini pusatnya pendidikan :)
MieBlLblZxQ,"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=4749"">1:19:09</a> bangsat juga nih coki."
MieBlLblZxQ,"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=1522"">25:22</a>"
MieBlLblZxQ,hallo editor Malaka aku mau speak soal suara di video-nya Malaka karena saya merasa kalau gerakan dan suaranya tidak simetris di beberapa menit ini sedikit menganggu ku ketika menonton bukan bermaksud menjelekkan hanya menyampaikan apa yang saya rasakan terimakasih
MieBlLblZxQ,"Judul nya mah sudah rahasia umum, dulu sempat heboh dokter ketahuan Terima komisi dari perusahaan farmasi &quot;I&quot;, tpi berita nya hilang begitu aja... Simbiosis mutualisme mah dokter sama rep obat atau sales alkes😂"
MieBlLblZxQ,Kirain mau bahas wing chun
MieBlLblZxQ,"Jujur pernah sakit hati sama dokter, taun lalu saya sakit ginjal  lalu sya periksa ke klinik , sya cerita dok sya pnya riwayat ginjal &amp; sya cari pengetahuan sya di google gejala sakit saya ini, ginjal saya kambuh lagi kemungkinan ginjalku bengkak... sya syok dokter bentak&quot; saya kamu so tau percya sma google ini penyakit magh bukan ginjal ,<br>Tapi 1-2 hari stlah brobat sakit sya ga sembuh&quot; ..<br>sya berobat lagi ke klinik lain di kasi rekomendasi tmen kerja, dokter nya ramah &amp; terima masukan dari pasien .<br>Sya langsung minta anter tmen untuk kesana  , sya cerita semua gejala sakit saya &amp; ngasi pendapat sya, <br>Dokter jawab dengan dengan sopan , OH GITU YA MASUK LOGIKA JGA INI GEJALA GINJAL , KALO BERKENAN KITA RONSEN DLU SPYA LEBIH JELAS INI GEJALA BATU GINJAL ATW PEMBEKAKAN GINJAL ..<br><br>stlah di ronsen tebakan dokter benar, ginjal sblah kanan sya bengkak ..<br>Ga sampe 1 hari rasa nyeri mulai sedikit reda stlah minum obat dari resep dokter ini ... <br><br>Sampe saat ini kalo sakit atw kluarga ad yg sakit saya ajak ke klinik itu terus . Karna tepat penanganan nya 👍"
MieBlLblZxQ,Ad botol kasong tu
MieBlLblZxQ,"Alasan mengapa Aku tidak pernah percaya sepenuhnya sama claim kedokteran. Selain hanya bisnis, pekerjaan mereka cuma tebak-tebakan,."
MieBlLblZxQ,"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=2200"">36:40</a> maaf dok,<br>Malah yg dokter muda itu yerang trangan malakin marketing, over claim, <br>Dan masih bbyak dok perusahaan memberikan tunai ke dokternya,<br>Bukan hnya obat tapi alkes,"
MieBlLblZxQ,Mnit 30.00 buzzer: masih ada celah dkit. <br>Mnit 1jam20 buzzer : wong edan nh org 5lngkah lebih maju 😂😂😂
MieBlLblZxQ,"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=4443"">1:14:03</a>"
MieBlLblZxQ,"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=5006"">1:23:26</a><br><br>: NOTE"
MieBlLblZxQ,cancoo.....gw suka sama orang2 ini🤣🤣🤣
MieBlLblZxQ,"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=4752"">1:19:12</a>"
MieBlLblZxQ,Ada sombong sombongnya nih host gw liat liat
MieBlLblZxQ,Untung gue fanspage
MieBlLblZxQ,"Penjelasan dr Tirta bagus dan detail, top doc 👍🏼"
MieBlLblZxQ,❤JUARA❤
MieBlLblZxQ,Banyak banget ilmu disini 😂
MieBlLblZxQ,"Walah pak,soadara saya di diaknosis usus buntu tanpa gejala kaki sakit,karna sodaraku kurang informasi akhirnya di oprasi usus buntu &amp; endingnya beberapa hari setelah sodaraku operasi malah kena struk dan sekarang menjalani terapi😞"
MieBlLblZxQ,Wkwkw gegara gw nonton di laptop kepala pak tirta jadi gede banget pas di zoom
MieBlLblZxQ,Ini pasti dari video member
MieBlLblZxQ,NGASIH BENSIN🔥 NGASIH BENSIN💥🔥🔥
MieBlLblZxQ,"Sorot kameranya kurang nyaman, tapi kek nya jadi ciri khas"
MieBlLblZxQ,yang penting kualitas daripada kuantitas 🙏🙏
MieBlLblZxQ,Dokter gladis tolong di dengar? Biar gk malu sama gelar 😊
MieBlLblZxQ,Di 1.13.41 itu lumayan 😂
MieBlLblZxQ,Audionya kurang klo mulut nya aga jauh sama mic
MieBlLblZxQ,D. tirta memang songong tapi begitu berintegritas
MieBlLblZxQ,"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=4355"">1:12:35</a> orang yang bully PPDS tidak pintar<br><a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=4388"">1:13:08</a> cara tes dokter pinter atau enggak<br><a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=4421"">1:13:41</a> punchline Coki"
MieBlLblZxQ,Di radio sering denger dokter jualan jamu herbal/obat herbal.
MieBlLblZxQ,ty!
MieBlLblZxQ,Cuma mau ngomong podcast ini KEREN
MieBlLblZxQ,Wawww beneran kejadian di aku waktu itu periksa kehamilan sama salah satu sp.OG di daerahku dokternya bilang &quot;yasudah periksa saja sama google ngga usah sama saya kalau mau percayanya sama google&quot;. Dannn kejadian waktu lahiran beliaunya telat datang harus nunggu 6 jam buat yg beliau sebut harus tindakan &#39;SC cito&#39;. Alhasil bayiku meninggal padahal  dari awal kontrol beliau bilang &quot;baik baik saja&quot; 🙂.<br>Ngeri bgt gacha dokter spesialis dapetnya nuwun sewu nya zonk gini
MieBlLblZxQ,"Gilaaa Gilaaa selama gua nonton podcast  malaka dan yg lain2 cumaa ini yang habis nonton kayak legaa banget karena dari awal smpai habis video ini kyak semua perasaan ku keluar ...bingung harus jelasin gimana tapi Hormat ,Respect dan Salut  Dengan 3 orang inii 👏👏 kalau bisa ketemu suatu hari nanti ku minta tanda tangann😂😂"
MieBlLblZxQ,gimana nih ITB? masa ada dosen / mentor sekeren ini cuma dibayar 400k/sesi sih? hadeehh..
MieBlLblZxQ,"Bisa ga si bagian fery di cut aja, mager bgt nyekipnya njirr.."
MieBlLblZxQ,Ngakak banget pas bahasa fans MU😂
MieBlLblZxQ,Ini yg lbh pantes jd menkes. Bukan mntri dagelan itu
MieBlLblZxQ,Menkes seharusnya dr.tirta
