comment
Tonton sampai habis &amp; kasih pendapat kalian di kolom komentar!
Gibrann gibrann ampun dah
DURASI KURANG SAAATTTGGGHHH
"Audionya tolong diperhatiin, pas ngobrol suara kecil pas ketawa suara kenceng"
"Suaranya terlalu kecil, tidak terlalu kedengaran walau pakai earphone juga"
setuju
"Harapan besar walau sulit, diskusi dr tirta, dr ryu dgn host malaka.<br>Tema utama &#39;pendidikan dasar dan pembenahannya utk mencapai output people yg kompeten&#39;. 🙏 <br>🙏"
dokter endorse kopid
"Bahas vaksin/imunisasi please. Makin ke sini makin banyak pro dan kontra soal imunisasi, ini bikin bingung. Sebagai calon ibu yg 3 bulan lagi lahiran intuisi saya bilang ikut ke tim no vaksin. Tapi saya sadar intuisi aja ga cukup. Jadi butuh banget dicerdaskan oleh channel ini.<br>Terimakasih bang"
"undang dr tirta sekali ga sih,masik laparr inii😂"
"Mau IDI kek, IBI kek, PGRI kek. They are the real cancer. Tiap bulan bayar iuran dan banyak duit patungan apalah, ulang tahun organisasi dll. Gak tau duitnya kemana, kalo diaudit mampus semua tuh."
Daging semua 😂
"Gua kira mungkin karena faktor bangunan2 gedung dengan ketutup beton di setiap RS,, itu yg membuat wifi di RS itu sinyalnya agaq jelek.. tetapi....oh..ini.. bisa jadi.. *coki....😂😂😂"
"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=3389"">56:29</a> pucak dimana dr.tirta tidak bisa melawan nafsunya sndiri.. pisang molen woennakk..pol dok.. 😂😂"
hanya di indonesia kedokteran menjadi tempat bisnis intinya utamakan uang belakangan 50/50 bodoh amat lu mau sembuh atau gk yg penting punya duit.....
Kalo kerja jadi marketing farmasi atau biasa di panggil medrep betapa gilanya entertaint oknum dokter apalagi spesialasis
"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=2407"">40:07</a> tapi orang luar mulai sadar itu salah dok"
jangan takut sm lgbtrans
"gw ga tertarik sama ini orang, cuma gw klik ternyata gaya si dokter kek temen gw jirr kita ngomong dan kesabarannya setipis tisue dibagi dua"
bagi obat HIV gratis ke coki😂
waduhhhhh gw butawarna parsial juga ..... berat nih persaingan di konoha
Bang gw jadi begadang liat podcast mu
Kapan lagi nih podcast mereka bertiga? Daging bener cuyy
"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=2882"">48:02</a><br><br>ga ekspek dokter tirta main dota 2 juga wkkww"
"Gua pernah overdose waktu berobat ke klinik sampe menggigil, emang kita itu harus tau basic medic biar dokter goblok ga salah diagnosa dan asal kasih obat"
"Sebagai orang yang &quot;Buta Warna Parsial&quot; (merah hijau), menurut saya perpaduan warna yang terlihat ketika warna merah dan hijau muncul bersamaan itu,  Seperti di test-test yang ada adalah terlihatnya kebiasan antara kedua perpaduan warna tersebut, sehingga visual warna itu seperti tergradasi tanpa terlihat BEDA, jadi warna merah dan hijau terlihat sangat MIRIP, jika bertepatan sebelahan atau dot titik yang rapat. Saya mengatakan ini karna jika warna lain seperti biru dengan kuning tidak akan terlihat mirirp sehingga visual yang terlihat lebih jelas perbedaannya. &lt;_&gt;"
iki loh aku dapet pisang e bosok loh cukk cukk😭🤣🤣🤣
mendadak tambah pinter
.
"Kali kedua aku nonton ini, terimakasih sebanyak-banyaknya untuk Dr. Tirta &amp; Host<br><br>Suka bgt sama konten ini, berapa kali aku pause &amp; ulangi agar aku nangkep lebih jelas saking menariknya materi yg disampaikan."
"beda cuk , kalo host sama tamu nya sama sama pinter , isinya daging semua"
.
"Sebenernya rencana pendidikan gratis itu hanya terdapat oleh orang pintar, nyatanya ketika ada caleg yang mengajukan pendidikan gratis malah lebih banyak yang memilih makan gratis, saya bilang nyatanya karna penduduk Indonesia memang sedikit orang pintar, tapi mungkin mbg ini adalah rencana awal untuk memancing agar terpilih tinggal menyelesaikan rencana rencana selanjutnya ketika sudah menjabat, ( jika ) memang seperti itu sudah jelas terbukti bahwa si caleg yang mengadakan makan gratis itu lebih pintar"
"Mungkin karena org indo banyak yg pinter,bikin gak maju2, krn jadi kebanyakan debat...😂"
Di podcast ini dr tirta tertekan cok🤣
"Gua ngakak pas Peri disentil Tirta; bhw ngemeng sm Ferry ini musti di&#39;detail&#39;in dulu, biar dia gk keliru menanggapi.  Wkwkwk... Perriii.....  Peri."
Publik Speakingnya Dr Tirta terbaiklah tdk smuah dokter bisa sperti ini 😅😂
Hampir off side 😂
Ada jeda dokter Richard lega ketika Ferry cerita yang nyentil extrem banget coki 😅
1 vs 2 menang pak dokter
Kalau Ferri sakit pake obat tumbuhan dari hutan aja 😅
Yang penting dokter tidak engerampok 😂
"Dokter jual obat oles, aduh dihakimi pak dokter...😅"
"Omelin aja dok, podcast pake ngerokok lagi 😅"
Bang suaranya kecil banget
Banyak banget skincare overclaim ga kena pasal to?
.klo srg byk dokter tapi tidak pintar..mengalami istri lahir di rssss kpg saya.saya yakin itu dokter yg di rsssss.itu pasti dokter dri byk uang.tapi bkn dokter dari  kepintaranya
menjawab dokter apakah makan gorenanga?n langsung dikasih video dokter makann gorengan dan pernah jualan gorengan di falkutas kedokteran
"Betull bnyk dokter bloooon skrg, tmn ku oon tkg nyontek karena ortu berduit skrg jd dokter😅"
"sangat setuju dengan dr tirta , statement beliau serta penejelasan beliau ini bener2 real, makesense , beliau memang pinter dari penyampaian , kosa kata , serta bahasa akademis pun dapat dipahami orang awam, dan emg betul &quot;dokter&quot; itu bukan hard skill, tapi dokter itu memang di tumbuhkan dari orang orang pintar yang mempunyai kemampuan , bukan orang2 &quot;berduit&quot;"
tapi sekarang jarang ya liat sales obat ngintilin dokter minta tanda tangan... lebih ke digital kah?
Gorengan kena lagi pas di akhir 🤣
"Rewatch dan gak akan bosen . Butuh lebih banyak mengingat, berhubungan gw gak pinter2 amat 😂"
Ga ada dokter mlarat cuk
"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=2390"">39:50</a> : ISI SUMPAH DOKTER"
hi ganteng
suara nya kadang ngecilin
Salah satu orang sombong yang bisa gw terima ya dr. Tirta. Omongannya daging. Tercerahkan. Thanks bang Fery n bang Coky.
