comment
"Negara harus berbenah. Bukan bulan depan, bukan tahun depan, tapi sekarang juga!"
@@MalakaProjectid rakyat ingin melihat ketegasan pemerintah untuk berbenah. Sekarang juga!!!
"Gw dukung BRIMOB, POLRI, DPR dan pelakunya"
Kita butuh pemimpin yg Tegas seperti<br><br>Ibrahim Traoré
Penasaran definisi dari &quot;reset&quot; yang digaungkan.. apakah sekedar tuntutan 17+8 atau bener bener rombak ulang?
"sayang banget kalau bonus demografi ini kelewat gitu aja, ga kebayang galaunya kita-kita itu gimana"
Bung Ferry memanfaatkan panggung yang dikasih iNews dengan baik.
negara ini sedang sakit siapapun tolong sembuhkan negara ini 😢😢😢😢😢
Rakyat melawan
"Saya percaya bahwa salah satu hal yang bisa membuat dunia menjadi lebih baik saat2 ini adalah kerendahan hati.<br>Dua dari ciri2 utama orang yang rendah hati adalah benci pujian, dan meyakini bahwa segala sesuatu yang ada padanya bukanlah atas hasil kemampuan dirinya."
Sejak kemarin mulai banyak muncul postingan yang membela polisi yang melindas ojol.
Cape bet liat yg 3jem
"boomers kolot, sudahlah jangan gengsi untuk menerima kenyataan kalo generasi saat ini punya ide dan gagasan yg lebih baik, bahkan lebih bijaksana"
wrnya masih 100% gua yakin adilan berada dipihak rakyat
"Semoga bang feri bisa melihat negara ini kaya dan aman, sehingga tidak risau lagi ttg anak dan cucunya di masa mendatang"
Apa Indonesia akan seperti ini terus menerus?
"Gak perlu mikir panjang, langsung aja gas ke 🎀  𝓅 𝓊 𝐼 𝒶 𝒰 𝟩 𝟩 𝟩  🎀"
Lo bisa jadi inspirasi kalau mulai dari 🎀  𝓅 𝓊 𝐼 𝒶 𝒰 𝟩 𝟩 𝟩  🎀
* 𝓅 𝓊 𝐼 𝒶 𝒰 𝟩 𝟩 𝟩 * tuh tempatnya potensi berkembang
🎀  𝓅 𝓊 𝐼 𝒶 𝒰 𝟩 𝟩 𝟩  🎀 siap nemenin lo yang pengen lebih
